日期,無風險利率,市場報酬率,2357收盤價,2382收盤價,2417收盤價,2357實際報酬率,2382實際報酬率,2417實際報酬率,2357超常報酬率,2382超常報酬率,2417超常報酬率
2022-07-06,0.01775,-0.0253,298.0,75.0,19.799999,-0.021346469622331693,-0.05660377358490566,-0.024630543085248428,-0.011639493396625664,-0.04335679139183495,0.001203406673782402
2022-07-07,0.01795,0.0250999999999999,302.5,77.5,20.5,0.015100671140939598,0.03333333333333333,0.0353535876441206,-0.007409546745559712,0.010235170204867538,0.010164906092969241
2022-07-08,0.01785,0.0089,305.0,76.199997,20.700001,0.008264462809917356,-0.016774232258064566,0.00975614634146343,-0.0038772924230659443,-0.028180028062292608,0.0009671533180795975
2022-07-11,0.01785,-0.0086,309.5,78.0,20.700001,0.014754098360655738,0.023622087544176724,0.0,0.013773715577146434,0.02481669100542458,0.008928059724189676
2022-07-12,0.01785,-0.0272,306.5,76.800003,19.549999,-0.009693053311793215,-0.015384576923076874,-0.05555564949006527,0.0011895083367098411,-0.0007975490996660634,-0.027796893702740324
2022-07-13,0.01775,0.0268,313.0,79.199997,20.4,0.021207177814029365,0.031249920654299875,0.04347831424441499,-0.0023148462241271844,0.006983714177010911,0.01656606696638412
2022-07-14,0.01775,0.0079,312.5,80.300003,20.549999,-0.001597444089456869,0.013888965172561909,0.007352892156862799,-0.013065185882181505,0.0032311899019869146,-0.00042493815378868375
2022-07-15,0.01775,0.0078,310.0,79.699997,20.549999,-0.008,-0.00747205451536543,0.0,-0.019403962521584786,-0.018057827504423418,-0.007676590009236775
2022-07-18,0.01775,0.0116,308.5,80.699997,21.049999,-0.004838709677419355,0.012547051915196434,0.024330901427294473,-0.01866628450231849,-0.0007748077715077489,0.012807179964298879
2022-07-19,0.01775,-0.0017,312.0,81.099998,20.950001,0.011345218800648298,0.004956642067781033,-0.004750499038028428,0.006000287037349396,0.0012110858228385306,-0.0028092604128681555
2022-07-20,0.01775,0.0027,316.0,81.099998,21.299999,0.01282051282051282,0.0,0.01670634765124829,0.004669293127060456,-0.006913656631690728,0.014193013014161508
2022-07-21,0.01775,0.0139,322.0,83.699997,22.0,0.0189873417721519,0.03205917465004126,0.03286389825652106,0.003692843711036179,0.017081262488445957,0.01901164986098723
2022-07-22,0.01755,0.0008,326.0,83.0,21.75,0.012422360248447204,-0.008363166369050124,-0.011363636363636364,0.005555388164372314,-0.013852784214951763,-0.011955885876673147
2022-07-25,0.01745,-0.0009,326.0,83.0,22.0,0.0,0.0,0.011494252873563218,-0.005746503745837267,-0.004237581341629559,0.012621848183161727
2022-07-26,0.01725,-0.0087,323.0,82.5,21.35,-0.009202453987730062,-0.006024096385542169,-0.029545454545454482,-0.009901733126938624,-0.0045895043318793394,-0.020523596328338337
2022-07-27,0.01725,0.0078,322.5,83.400002,21.700001,-0.0015479876160990713,0.010909115151515159,0.01639348946135826,-0.012770846493383115,0.00046333075487214187,0.008710697945047956
2022-07-28,0.01675,-0.002,319.0,84.400002,21.549999,-0.010852713178294573,0.011990407386321166,-0.006912534243662046,-0.015644099839572434,0.00874083517075963,-0.0046799777284047125
