日期,無風險利率
2021-07-28,0.65
2021-07-29,0.655
2021-07-30,0.66
2021-08-02,0.665
2021-08-03,0.67
2021-08-04,0.67
2021-08-05,0.665
2021-08-06,0.66
2021-08-09,0.66
2021-08-10,0.66
2021-08-11,0.66
2021-08-12,0.665
2021-08-13,0.665
2021-08-16,0.665
2021-08-17,0.66
2021-08-18,0.655
2021-08-19,0.66
2021-08-20,0.645
2021-08-23,0.655
2021-08-24,0.665
2021-08-25,0.67
2021-08-26,0.675
2021-08-27,0.675
2021-08-30,0.685
2021-08-31,0.68
2021-09-01,0.68
2021-09-02,0.675
2021-09-03,0.68
2021-09-06,0.685
2021-09-07,0.685
2021-09-08,0.68
2021-09-09,0.68
2021-09-10,0.68
2021-09-13,0.685
2021-09-14,0.685
2021-09-15,0.685
2021-09-16,0.68
2021-09-17,0.675
2021-09-20,0.675
2021-09-21,0.675
2021-09-22,0.675
2021-09-23,0.675
2021-09-24,0.68
2021-09-27,0.7
2021-09-28,0.695
2021-09-29,0.705
2021-09-30,0.7
2021-10-01,0.7
2021-10-04,0.715
2021-10-05,0.71
2021-10-06,0.71
2021-10-07,0.735
2021-10-08,0.73
2021-10-11,0.73
2021-10-12,0.735
2021-10-13,0.735
2021-10-14,0.735
2021-10-15,0.735
2021-10-18,0.765
2021-10-19,0.765
2021-10-20,0.76
2021-10-21,0.745
2021-10-22,0.735
2021-10-25,0.73
2021-10-26,0.745
2021-10-27,0.74
2021-10-28,0.745
2021-10-29,0.74
2021-11-01,0.76
2021-11-02,0.745
2021-11-03,0.74
2021-11-04,0.74
2021-11-05,0.735
2021-11-08,0.73
2021-11-09,0.735
2021-11-10,0.735
2021-11-11,0.735
2021-11-12,0.735
2021-11-15,0.73
2021-11-16,0.725
2021-11-17,0.735
2021-11-18,0.735
2021-11-19,0.725
2021-11-22,0.725
2021-11-23,0.72
2021-11-24,0.725
2021-11-25,0.735
2021-11-26,0.735
2021-11-29,0.73
2021-11-30,0.735
2021-12-01,0.73
2021-12-02,0.725
2021-12-03,0.725
2021-12-06,0.715
2021-12-07,0.72
2021-12-08,0.725
2021-12-09,0.725
2021-12-10,0.73
2021-12-13,0.725
2021-12-14,0.725
2021-12-15,0.72
2021-12-16,0.735
2021-12-17,0.735
2021-12-20,1.115
2021-12-21,1.095
2021-12-22,1.09
2021-12-23,1.09
2021-12-24,1.09
2021-12-27,1.11
2021-12-28,1.105
2021-12-29,1.155
2021-12-30,1.165
2021-12-31,1.165
2022-01-03,1.185
2022-01-04,1.18
2022-01-05,1.175
2022-01-06,1.185
2022-01-07,1.19
2022-01-10,1.19
2022-01-11,1.205
2022-01-12,1.2
2022-01-13,1.165
2022-01-14,1.135
2022-01-17,1.145
2022-01-18,1.165
2022-01-19,1.155
2022-01-20,1.145
2022-01-21,1.125
2022-01-24,1.135
2022-01-25,1.15
2022-01-26,1.145
2022-01-27,1.145
2022-01-28,1.145
2022-01-31,1.145
2022-02-01,1.145
2022-02-02,1.145
2022-02-03,1.145
2022-02-04,1.145
2022-02-07,1.14
2022-02-08,1.145
2022-02-09,1.15
2022-02-10,1.115
2022-02-11,1.125
2022-02-14,1.12
2022-02-15,1.125
2022-02-16,1.115
2022-02-17,1.105
2022-02-18,1.1
2022-02-21,1.075
2022-02-22,1.07
2022-02-23,1.085
2022-02-24,1.095
2022-02-25,1.085
2022-02-28,1.085
2022-03-01,1.095
2022-03-02,1.085
2022-03-03,1.07
2022-03-04,1.06
2022-03-07,1.07
2022-03-08,1.075
2022-03-09,1.07
2022-03-10,1.07
2022-03-11,1.075
2022-03-14,1.085
2022-03-15,1.08
2022-03-16,1.065
2022-03-17,1.06
2022-03-18,1.045
2022-03-21,1.04
2022-03-22,1.065
2022-03-23,1.06
2022-03-24,1.065
2022-03-25,1.08
2022-03-28,1.095
2022-03-29,1.09
2022-03-30,1.085
2022-03-31,1.085
2022-04-01,1.085
2022-04-04,1.085
2022-04-05,1.085
2022-04-06,1.1
2022-04-07,1.09
2022-04-08,1.09
2022-04-11,1.095
2022-04-12,1.115
2022-04-13,1.125
2022-04-14,1.12
2022-04-15,1.115
2022-04-18,1.11
2022-04-19,1.115
2022-04-20,1.135
2022-04-21,1.13
2022-04-22,1.14
2022-04-25,1.15
2022-04-26,1.15
2022-04-27,1.125
2022-04-28,1.125
2022-04-29,1.135
2022-05-02,1.135
2022-05-03,1.16
2022-05-04,1.155
2022-05-05,1.16
2022-05-06,1.16
2022-05-09,1.7
2022-05-10,1.815
2022-05-11,1.815
2022-05-12,1.895
2022-05-13,1.895
2022-05-16,1.895
2022-05-17,1.875
2022-05-18,1.875
2022-05-19,1.865
2022-05-20,1.835
2022-05-23,1.775
2022-05-24,1.765
2022-05-25,1.765
2022-05-26,1.765
2022-05-27,1.765
2022-05-30,1.805
2022-05-31,1.805
2022-06-01,1.805
2022-06-02,1.805
2022-06-03,1.805
2022-06-06,1.825
2022-06-07,1.875
2022-06-08,1.875
2022-06-09,1.875
2022-06-10,1.875
2022-06-13,1.905
2022-06-14,1.975
2022-06-15,1.975
2022-06-16,1.955
2022-06-17,1.965
2022-06-20,1.975
2022-06-21,1.935
2022-06-22,1.925
2022-06-23,1.925
2022-06-24,1.925
2022-06-27,1.925
2022-06-28,1.895
2022-06-29,1.835
2022-06-30,1.835
2022-07-01,1.815
2022-07-04,1.805
2022-07-05,1.805
2022-07-06,1.775
2022-07-07,1.795
2022-07-08,1.785
2022-07-11,1.785
2022-07-12,1.785
2022-07-13,1.775
